version,date,day
"v0.0.1","27/05/2009",0
"v0.0.2","31/05/2009",3
"v0.0.3","11/06/2009",14
"v0.0.5","19/06/2009",22
"v0.1.0","30/06/2009",33
"v0.1.2","01/08/2009",65
"v0.1.3","06/08/2009",70
"v0.1.4","13/08/2009",77
"v0.1.5","22/08/2009",86
"v0.1.7","27/08/2009",91
"v0.1.8","04/09/2009",99
"v0.1.9","05/09/2009",100
"v0.1.10","12/09/2009",107
"v0.1.11","19/09/2009",114
"v0.1.12","24/09/2009",119
"v0.1.13","01/10/2009",126
"v0.1.14","10/10/2009",135
"v0.1.15","28/10/2009",154
"v0.1.16","03/11/2009",159
"v0.1.17","08/11/2009",164
"v0.1.18","17/11/2009",173
"v0.1.19","28/11/2009",184
"v0.1.20","29/11/2009",185
"v0.1.21","07/12/2009",193
"v0.1.22","19/12/2009",205
"v0.1.23","23/12/2009",209
"v0.1.24","31/12/2009",217
"v0.1.25","09/01/2010",226
"v0.1.26","21/01/2010",238
"v0.1.27","04/02/2010",252
"v0.1.28","10/02/2010",258
"v0.1.29","18/02/2010",266
"v0.1.30","22/02/2010",270
"v0.1.31","06/03/2010",282
"v0.1.32","13/03/2010",289
"v0.1.33","20/03/2010",296
"v0.1.90","10/04/2010",317
"v0.1.91","15/04/2010",322
"v0.1.92","24/04/2010",331
"v0.1.93","30/04/2010",337
"v0.1.94","07/05/2010",344
"v0.1.95","14/05/2010",351
"v0.1.96","21/05/2010",358
"v0.1.97","30/05/2010",367
"v0.1.98","10/06/2010",378
"v0.1.99","22/06/2010",390
"v0.1.100","03/07/2010",401
"v0.1.101","17/07/2010",415
"v0.1.102","26/07/2010",424
"v0.1.103","05/08/2010",434
"v0.1.104","13/08/2010",443
"v0.2.0","20/08/2010",449
"v0.2.1","11/09/2010",471
"v0.2.2","18/09/2010",478
"v0.2.3","02/10/2010",492
"v0.3.0","24/10/2010",514
"v0.3.1","17/11/2010",538
"v0.3.2","17/12/2010",568
"v0.3.3","03/01/2011",585
"v0.3.4","09/01/2011",591
"v0.3.5","17/01/2011",599
"v0.3.6","22/01/2011",604
"v0.3.7","28/01/2011",610
"v0.3.8","05/02/2011",618
"v0.4.0","10/02/2011",623
"v0.4.1","20/02/2011",633
"v0.4.2","03/03/2011",644
"v0.4.3","19/03/2011",660
"v0.4.4","26/03/2011",667
"v0.4.5","02/04/2011",674
"v0.4.6","14/04/2011",686
"v0.4.7","23/04/2011",695
"v0.4.8","21/05/2011",723
"v0.4.9","29/06/2011",762
"v0.5.0","06/07/2011",769
"v0.5.1","15/07/2011",778
"v0.5.2","22/07/2011",785
"v0.5.3","02/08/2011",796
"v0.5.4","12/08/2011",806
"v0.5.5","27/08/2011",821
"v0.5.5-rc1","27/08/2011",821
"v0.5.6","10/09/2011",835
"v0.5.7","17/09/2011",842
"v0.5.8","01/10/2011",856
"v0.5.9","11/10/2011",866
"v0.5.10","22/10/2011",877
"v0.6.0","05/11/2011",891
"v0.6.1","12/11/2011",898
"v0.6.2","19/11/2011",905
"v0.6.3","25/11/2011",911
"v0.6.4","02/12/2011",918
"v0.6.5","04/12/2011",920
"v0.6.6","15/12/2011",931
"v0.6.7","06/01/2012",953
"v0.7.0","17/01/2012",964
"v0.7.1","24/01/2012",971
"v0.7.2","01/02/2012",979
"v0.7.3","08/02/2012",986
"v0.7.4","15/02/2012",993
"v0.7.5","23/02/2012",1001
"v0.7.6","14/03/2012",1021
"v0.7.7","30/03/2012",1037
"v0.7.8","18/04/2012",1056
"v0.7.9","26/05/2012",1094
"v0.7.10","11/06/2012",1110
"v0.7.10-fixed","12/06/2012",1111
"v0.7.11","16/06/2012",1115
"v0.7.12","19/06/2012",1118
"v0.8.0","21/06/2012",1120
"v0.8.1","29/06/2012",1128
"v0.8.2","08/07/2012",1137
"v0.8.3","18/07/2012",1147
"v0.9.0","20/07/2012",1149
"v0.9.1","28/08/2012",1189
"v0.9.2","17/09/2012",1208
"v0.9.3","24/10/2012",1245
"v0.9.4","22/12/2012",1304
"v0.9.5","30/12/2012",1312
"v0.9.6","12/01/2013",1325
"v0.9.7","19/01/2013",1332
"v0.9.8","25/01/2013",1338
"v0.9.9","08/02/2013",1352
"v0.9.10","20/02/2013",1364
"v0.9.11","02/03/2013",1374
"v0.9.12","07/03/2013",1379
"v0.10.0","10/03/2013",1382
"v0.10.1","21/03/2013",1393
"v0.10.2","29/03/2013",1401
"v0.11.0","29/03/2013",1401
"v0.11.1","19/04/2013",1423
"v0.11.2","14/05/2013",1447
"v0.11.3","27/06/2013",1491
"v0.11.4","13/07/2013",1507
"v0.11.5","07/08/2013",1532
"v0.11.6","22/08/2013",1547
"v0.11.7","05/09/2013",1561
"v0.11.8","30/10/2013",1616
"v0.11.9","21/11/2013",1638
"v0.11.10","01/01/2014",1679
"v0.11.11","29/01/2014",1707
"v0.11.12","12/03/2014",1749
"v0.11.13","02/05/2014",1800
"v0.11.14","25/09/2014",1946
"v0.11.15","21/01/2015",2064
"v0.11.16","30/01/2015",2073
"v0.12.0","07/02/2015",2081
"v0.12.1","24/03/2015",2126
"v0.12.2","01/04/2015",2134
"v0.12.3","14/05/2015",2177
